requirement_id,human_decision,protocol_artifact,machine_artifact,fixture_or_test,status
P1-RQ,D001,docs/protocol/PROTOCOL_V0.1.md,protocol/phase-1.yaml,tests/test_decision_gate.py,applied
P1-ONTOLOGY,D002,docs/protocol/formal_problem.md,schemas/study_protocol.schema.json,tests/test_repository_validation.py,applied
P1-GTRUTH,D003,docs/protocol/formal_problem.md,schemas/goal_truth_timeline.schema.json,fixtures/reimbursement-v0/hidden_goal_timeline.yaml,applied
P1-GOAL-BOUNDARY,D004,docs/protocol/change_taxonomy.md,src/goalevo_protocol/invariants.py,fixtures/reimbursement-v0/patch_proposals.yaml,applied
P1-SEVERE,D005,docs/protocol/metrics.md,schemas/task_execution.schema.json,tests/test_cross_invariants.py,applied
P1-TAXONOMY,D006,docs/protocol/change_taxonomy.md,schemas/patch_proposal.schema.json,tests/test_taxonomy_cases.py,applied
P1-AUTH,D007,docs/protocol/PROTOCOL_V0.1.md,schemas/authority_graph.schema.json,fixtures/reimbursement-v0/authority_graph.yaml,applied
P1-H1,D008,docs/protocol/hypotheses_h1_h3.md,schemas/outcome_record.schema.json,tests/test_metrics.py,applied
P1-H2,D009,docs/protocol/hypotheses_h1_h3.md,protocol/phase-1.yaml,src/goalevo_protocol/decision_gate.py,procedure_locked
P1-H3,D010,docs/protocol/hypotheses_h1_h3.md,schemas/outcome_record.schema.json,fixtures/reimbursement-v0/outcomes.yaml,applied
P1-JOINT,D011,docs/protocol/hypotheses_h1_h3.md,protocol/phase-1.yaml,tests/test_decision_gate.py,applied
P1-ROLES,D012,docs/phase-1/HUMAN_DECISION_PACKET.md,governance/human-decisions/phase-1.yaml,src/goalevo_protocol/decision_gate.py,pilot_applied_confirmatory_blocked
P1-WORLDS,D013,docs/protocol/PROTOCOL_V0.1.md,protocol/phase-1.yaml,fixtures/reimbursement-v0/world.yaml,applied
P1-OPENNESS,D014,README.md,governance/human-decisions/phase-1.yaml,SECURITY.md,deferred_with_interim_controls
P1-PILOT-LOCK,D001-D013,docs/phase-1/PROTOCOL_V0.1_DELIVERY.md,governance/freeze-manifests/protocol-v0.1.yaml,.github/workflows/validate.yml,candidate
